epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6313,3.30217,4.15577,4.24611,0.00173,0.35208,0.00193,0.00054,2.96904,4.22896,4.14611,0.0704054,0.00328829,0.00328829
2,70.3192,3.32717,4.01255,4.17189,0.0032,0.68704,0.00424,0.00116,2.91357,3.96411,4.07005,0.0403726,0.00658884,0.00658884
3,104.827,3.13871,3.68351,3.86877,0.00085,0.02934,0.00045,0.00014,3.58468,7.11048,14.6584,0.0103069,0.0098564,0.0098564
4,138.833,2.73417,3.2326,3.25421,0.08663,0.1467,0.04403,0.01107,2.54877,5.77527,3.29548,0.0098515,0.0098515,0.0098515
5,173.702,2.34517,2.73724,2.7974,0.27823,0.32029,0.21522,0.07244,2.2505,6.02445,3.35844,0.009802,0.009802,0.009802
6,208.559,2.05432,2.31022,2.49016,0.4433,0.44499,0.40561,0.18021,1.79455,3.70732,2.42432,0.0097525,0.0097525,0.0097525
7,243.652,1.8418,1.98945,2.29498,0.53603,0.489,0.50718,0.24091,1.72422,2.09163,2.3077,0.009703,0.009703,0.009703
8,278.455,1.68683,1.74761,2.13563,0.72549,0.68949,0.74056,0.42094,1.51013,1.51175,2.10071,0.0096535,0.0096535,0.0096535
9,313.386,1.56168,1.55057,1.99447,0.63067,0.55111,0.60873,0.32092,1.60401,1.83049,2.21994,0.009604,0.009604,0.009604
10,347.418,1.46776,1.401,1.90051,0.75358,0.66993,0.76722,0.46085,1.41231,1.24292,1.98257,0.0095545,0.0095545,0.0095545
11,382.588,1.38754,1.25872,1.81157,0.7712,0.77995,0.83913,0.5436,1.25939,1.12285,1.78628,0.009505,0.009505,0.009505
12,417.444,1.30956,1.17901,1.73418,0.74796,0.78362,0.83339,0.54713,1.20498,1.09687,1.78083,0.0094555,0.0094555,0.0094555
13,452.275,1.27392,1.11756,1.68254,0.86938,0.82996,0.91079,0.61539,1.14499,0.88569,1.66952,0.009406,0.009406,0.009406
14,487.236,1.2328,1.06102,1.65476,0.80933,0.82396,0.87983,0.58786,1.13275,0.91033,1.67219,0.0093565,0.0093565,0.0093565
15,521.545,1.20591,1.00937,1.63209,0.89241,0.81124,0.916,0.6174,1.11784,0.88907,1.64995,0.009307,0.009307,0.009307
