epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0847,3.31479,4.09757,4.25052,0.00173,0.37164,0.00191,0.00061,2.90458,3.94819,4.07352,0.0704054,0.00328829,0.00328829
2,54.6886,3.14241,3.67203,3.89901,0.00419,0.86308,0.01853,0.00447,2.66288,3.69956,3.69271,0.0403726,0.00658884,0.00658884
3,81.7,2.86833,3.35569,3.41769,0.09332,0.07579,0.03739,0.00957,2.53046,3.60681,3.257,0.0103069,0.0098564,0.0098564
4,108.521,2.55298,2.8897,2.99881,0.20463,0.24218,0.14217,0.04082,2.42247,8.79753,3.29291,0.0098515,0.0098515,0.0098515
5,135.561,2.11624,2.29383,2.58008,0.43931,0.45477,0.4093,0.16097,1.99308,3.80997,2.6647,0.009802,0.009802,0.009802
6,162.379,1.82393,1.87401,2.2962,0.38411,0.53828,0.40182,0.20111,1.6467,5.3819,2.40277,0.0097525,0.0097525,0.0097525
7,189.279,1.624,1.59741,2.11119,0.63733,0.65738,0.67021,0.3926,1.40642,1.88804,2.05685,0.009703,0.009703,0.009703
8,216.247,1.49932,1.42401,1.98084,0.75708,0.70416,0.79174,0.45512,1.47395,1.31861,2.06209,0.0096535,0.0096535,0.0096535
9,243.36,1.42398,1.29885,1.88979,0.7887,0.79462,0.86034,0.57148,1.1793,1.12902,1.78064,0.009604,0.009604,0.009604
10,270.337,1.34308,1.17977,1.81565,0.83783,0.80842,0.88038,0.58013,1.25771,1.02634,1.83859,0.0095545,0.0095545,0.0095545
11,297.236,1.30101,1.11173,1.75729,0.84081,0.81174,0.89441,0.58032,1.2385,0.95709,1.7932,0.009505,0.009505,0.009505
12,324.138,1.24948,1.04759,1.69475,0.85448,0.81663,0.8937,0.6151,1.1459,0.92084,1.71888,0.0094555,0.0094555,0.0094555
13,351.692,1.20276,0.99816,1.64175,0.86887,0.86553,0.93703,0.63332,1.13094,0.81553,1.67142,0.009406,0.009406,0.009406
14,378.585,1.16661,0.95931,1.62638,0.84114,0.8802,0.92942,0.65347,1.04721,0.76613,1.60089,0.0093565,0.0093565,0.0093565
15,405.479,1.16649,0.93398,1.62765,0.88795,0.90709,0.94773,0.64119,1.10049,0.77015,1.65508,0.009307,0.009307,0.009307
16,431.653,1.13498,0.89845,1.58389,0.90689,0.86797,0.95082,0.67985,1.04343,0.72419,1.58818,0.0092575,0.0092575,0.0092575
17,458.635,1.11488,0.87936,1.56643,0.8939,0.8652,0.94514,0.69469,0.97316,0.70143,1.52148,0.009208,0.009208,0.009208
18,485.536,1.09135,0.84618,1.54497,0.89645,0.91021,0.95232,0.70345,0.98233,0.66463,1.50454,0.0091585,0.0091585,0.0091585
19,512.465,1.08123,0.85045,1.53201,0.87446,0.93672,0.96357,0.70262,0.99657,0.69453,1.53518,0.009109,0.009109,0.009109
20,539.366,1.06216,0.8202,1.50916,0.90073,0.90709,0.96017,0.69711,0.99722,0.66352,1.54579,0.0090595,0.0090595,0.0090595
21,565.711,1.05739,0.79932,1.50676,0.87795,0.84421,0.92429,0.68081,0.99044,0.76284,1.55159,0.00901,0.00901,0.00901
22,591.898,1.04997,0.79611,1.49625,0.89211,0.88509,0.95093,0.71092,0.97663,0.64887,1.51737,0.0089605,0.0089605,0.0089605
23,618.836,1.03012,0.7748,1.48904,0.90574,0.93643,0.96987,0.7126,0.95054,0.61513,1.50457,0.008911,0.008911,0.008911
24,645.673,1.00378,0.74393,1.44936,0.91073,0.92287,0.96661,0.71675,0.94191,0.60209,1.50052,0.0088615,0.0088615,0.0088615
25,672.543,1.00444,0.73895,1.44984,0.90486,0.91932,0.95937,0.71836,0.91411,0.62795,1.45713,0.008812,0.008812,0.008812
26,699.412,0.9878,0.72928,1.4327,0.90975,0.92665,0.9648,0.72685,0.94476,0.5818,1.46629,0.0087625,0.0087625,0.0087625
27,726.286,0.98994,0.7374,1.4465,0.90603,0.93399,0.96464,0.74528,0.89488,0.59575,1.42091,0.008713,0.008713,0.008713
28,753.032,0.96954,0.71317,1.41167,0.91316,0.94377,0.96889,0.71854,0.92634,0.57225,1.46877,0.0086635,0.0086635,0.0086635
29,779.121,0.97131,0.71946,1.41491,0.89628,0.95071,0.96951,0.74027,0.90463,0.59247,1.44056,0.008614,0.008614,0.008614
30,805.314,0.94373,0.69012,1.39985,0.92122,0.93154,0.97609,0.74893,0.90454,0.54852,1.42663,0.0085645,0.0085645,0.0085645
31,832.274,0.93877,0.68731,1.39368,0.91896,0.93154,0.96744,0.73866,0.9139,0.56524,1.44046,0.008515,0.008515,0.008515
32,858.448,0.93556,0.68098,1.37564,0.92686,0.94866,0.96848,0.7442,0.8805,0.55388,1.41296,0.0084655,0.0084655,0.0084655
33,884.71,0.92799,0.68288,1.37163,0.92566,0.94375,0.97857,0.75914,0.86881,0.51915,1.39881,0.008416,0.008416,0.008416
34,911.769,0.92328,0.67448,1.38106,0.92285,0.93583,0.96956,0.74286,0.87156,0.54125,1.41162,0.0083665,0.0083665,0.0083665
35,937.972,0.92349,0.66297,1.37301,0.92053,0.94621,0.97154,0.7567,0.89428,0.53737,1.43053,0.008317,0.008317,0.008317
36,964.201,0.90507,0.6491,1.35062,0.93128,0.96091,0.97607,0.75151,0.90171,0.53169,1.42807,0.0082675,0.0082675,0.0082675
37,990.347,0.90829,0.65509,1.35731,0.91698,0.91822,0.96534,0.74563,0.88993,0.53957,1.41365,0.008218,0.008218,0.008218
38,1016.6,0.89546,0.6409,1.33976,0.91393,0.95355,0.97642,0.76534,0.87346,0.52889,1.38947,0.0081685,0.0081685,0.0081685
39,1043.54,0.89505,0.63978,1.34454,0.9041,0.9511,0.97045,0.76241,0.86483,0.52107,1.39114,0.008119,0.008119,0.008119
40,1069.56,0.8708,0.61792,1.32449,0.914,0.93549,0.97535,0.77106,0.85061,0.51204,1.37553,0.0080695,0.0080695,0.0080695
41,1096.53,0.87763,0.61728,1.32878,0.92472,0.96108,0.97941,0.75628,0.88513,0.49029,1.40067,0.00802,0.00802,0.00802
42,1122.68,0.86433,0.6112,1.31955,0.90809,0.96633,0.97583,0.76104,0.84398,0.5117,1.36013,0.0079705,0.0079705,0.0079705
43,1148.84,0.87354,0.61229,1.3266,0.90166,0.96393,0.97084,0.75997,0.85913,0.52228,1.38512,0.007921,0.007921,0.007921
44,1174.94,0.86404,0.59816,1.31023,0.93708,0.93643,0.97773,0.7613,0.86893,0.49959,1.38078,0.0078715,0.0078715,0.0078715
45,1201.17,0.85688,0.59164,1.306,0.92516,0.93888,0.9735,0.76062,0.84926,0.52697,1.37011,0.007822,0.007822,0.007822
46,1227.49,0.84773,0.5776,1.29551,0.91795,0.93643,0.97207,0.76312,0.85228,0.50886,1.36431,0.0077725,0.0077725,0.0077725
