epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0237,3.28142,3.98512,4.12347,32.788415,0.00175,0.37653,0.00143,0.00053,2.82915,3.86792,3.89191,0.0704054,0.00328829,0.00328829
2,26.6429,3.05996,3.58897,3.68451,30.27095,0.08922,0.08802,0.03286,0.00787,2.59723,3.43386,3.49061,0.0403726,0.00658884,0.00658884
3,37.6192,2.79506,3.25502,3.28828,27.52288,0.08465,0.22157,0.0519,0.01355,2.69651,3.98678,3.84486,0.0103069,0.0098564,0.0098564
4,48.087,2.45169,2.86046,2.91659,24.19279,0.12234,0.18582,0.06669,0.02015,2.58749,11.2363,3.59343,0.0098515,0.0098515,0.0098515
5,58.3547,2.11071,2.43165,2.61323,20.965995,0.31426,0.3912,0.29297,0.11934,1.91523,4.63113,2.57449,0.009802,0.009802,0.009802
6,68.7629,1.89288,2.08927,2.36914,18.794945,0.46849,0.52567,0.47598,0.21752,1.72462,4.51586,2.43647,0.0097525,0.0097525,0.0097525
7,79.3673,1.71825,1.82308,2.19928,17.097335,0.61013,0.61369,0.6321,0.33313,1.54265,1.60899,2.15382,0.009703,0.009703,0.009703
8,90.0754,1.59697,1.65365,2.07876,15.92224,0.56179,0.61369,0.61405,0.33656,1.50938,2.43143,2.13235,0.0096535,0.0096535,0.0096535
9,100.48,1.53534,1.53004,2.00196,15.28301,0.78481,0.71336,0.80734,0.48621,1.40558,1.30233,2.02882,0.009604,0.009604,0.009604
10,110.692,1.46925,1.43113,1.93837,14.642495,0.81264,0.71053,0.83091,0.51938,1.30957,1.32495,1.9153,0.0095545,0.0095545,0.0095545
11,121.423,1.4303,1.35757,1.88537,14.23409,0.77636,0.77751,0.85275,0.53761,1.24209,1.28484,1.83402,0.009505,0.009505,0.009505
12,131.783,1.37371,1.27551,1.83182,13.68831,0.76275,0.79462,0.83743,0.56053,1.22144,1.09974,1.8164,0.0094555,0.0094555,0.0094555
13,141.877,1.3227,1.21927,1.77235,13.18841,0.82592,0.80196,0.87846,0.57174,1.213,1.11821,1.78587,0.009406,0.009406,0.009406
14,152.114,1.30852,1.19058,1.7768,13.07439,0.84039,0.77017,0.87938,0.59426,1.15372,1.07899,1.72166,0.0093565,0.0093565,0.0093565
15,162.558,1.29342,1.13918,1.7535,12.90049,0.82981,0.82258,0.88779,0.56685,1.25157,1.02775,1.81422,0.009307,0.009307,0.009307
16,172.746,1.2619,1.11486,1.70671,12.581745,0.86293,0.85575,0.92021,0.634,1.13784,0.8895,1.68068,0.0092575,0.0092575,0.0092575
17,183.051,1.24427,1.07815,1.68575,12.399725,0.85355,0.86308,0.91712,0.63673,1.09919,0.8537,1.64519,0.009208,0.009208,0.009208
18,193.311,1.22599,1.04807,1.66298,12.21343,0.83649,0.86308,0.91766,0.63764,1.10112,0.8505,1.65168,0.0091585,0.0091585,0.0091585
19,203.681,1.21504,1.04438,1.65279,12.114175,0.83462,0.85086,0.90914,0.62431,1.10923,0.92244,1.65416,0.009109,0.009109,0.009109
20,213.761,1.19767,0.98875,1.62729,11.917835,0.86003,0.9014,0.93368,0.64419,1.08317,0.88224,1.59332,0.0090595,0.0090595,0.0090595
21,223.983,1.19176,0.97294,1.61399,11.845655,0.82271,0.8313,0.9004,0.62599,1.09091,0.89631,1.61547,0.00901,0.00901,0.00901
22,234.311,1.17563,0.96751,1.60106,11.70257,0.86332,0.88753,0.94365,0.6713,1.05294,0.75271,1.56449,0.0089605,0.0089605,0.0089605
23,244.616,1.15792,0.94798,1.59467,11.550395,0.87556,0.87738,0.93198,0.66254,1.06362,0.77349,1.58622,0.008911,0.008911,0.008911
24,254.585,1.13443,0.90203,1.55757,11.295595,0.88999,0.90954,0.95468,0.69807,1.01001,0.7294,1.52434,0.0088615,0.0088615,0.0088615
25,265.148,1.14201,0.90449,1.561,11.35882,0.89013,0.89137,0.94649,0.69423,0.97915,0.76477,1.49442,0.008812,0.008812,0.008812
26,275.028,1.12671,0.89524,1.54517,11.2157,0.87772,0.91263,0.95424,0.70139,1.00071,0.73048,1.49536,0.0087625,0.0087625,0.0087625
27,285.186,1.11675,0.90038,1.5402,11.136115,0.88761,0.88264,0.94671,0.68458,1.01555,0.71808,1.50699,0.008713,0.008713,0.008713
28,295.673,1.08909,0.86288,1.50248,10.853335,0.86623,0.90246,0.9484,0.69894,0.94675,0.76159,1.46017,0.0086635,0.0086635,0.0086635
29,305.753,1.10015,0.86718,1.51367,10.95522,0.89791,0.90465,0.94687,0.68805,1.00817,0.71299,1.52508,0.008614,0.008614,0.008614
30,316.026,1.07006,0.83635,1.49976,10.693265,0.88587,0.91932,0.95875,0.71352,0.94496,0.65435,1.4543,0.0085645,0.0085645,0.0085645
31,326.28,1.07818,0.84666,1.51229,10.778115,0.89439,0.89039,0.95113,0.69626,0.98489,0.65878,1.50523,0.008515,0.008515,0.008515
32,336.593,1.07726,0.83941,1.48559,10.72754,0.89313,0.9022,0.95288,0.71066,0.96253,0.65917,1.48982,0.0084655,0.0084655,0.0084655
33,346.669,1.06713,0.83362,1.48726,10.651175,0.87878,0.93643,0.95748,0.71925,0.94229,0.63941,1.44567,0.008416,0.008416,0.008416
34,356.953,1.05392,0.82196,1.4825,10.53913,0.90407,0.89242,0.95698,0.71689,0.9455,0.66823,1.45868,0.0083665,0.0083665,0.0083665
35,367.074,1.05502,0.81519,1.4794,10.539345,0.87095,0.92421,0.95463,0.71008,0.97277,0.6589,1.47062,0.008317,0.008317,0.008317
36,377.206,1.03583,0.79201,1.45561,10.348145,0.90566,0.93399,0.96059,0.71593,0.95184,0.64191,1.46909,0.0082675,0.0082675,0.0082675
37,387.358,1.04093,0.79888,1.45922,10.395245,0.87935,0.9291,0.95971,0.71604,0.9299,0.64176,1.44822,0.008218,0.008218,0.008218
