epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3943,3.32508,4.02992,4.21433,0.0017,0.3643,0.00146,0.0005,2.87762,3.98019,4.01754,0.0704054,0.00328829,0.00328829
2,30.1035,3.19655,3.54283,3.81695,0.03388,0.04156,0.01678,0.00525,2.62931,3.55584,3.53482,0.0403726,0.00658884,0.00658884
3,44.5355,2.84371,3.18151,3.28799,0.07061,0.1956,0.04827,0.01399,2.87141,15.6626,4.20291,0.0103069,0.0098564,0.0098564
4,58.8601,2.43509,2.74999,2.82681,0.22521,0.40297,0.2006,0.07326,2.0784,3.705,2.70052,0.0098515,0.0098515,0.0098515
5,73.0266,2.02909,2.23119,2.44524,0.47498,0.49633,0.4688,0.22259,1.73258,3.66626,2.32033,0.009802,0.009802,0.009802
6,87.1586,1.76453,1.85337,2.16359,0.64544,0.543,0.60511,0.34702,1.53717,2.10007,2.07709,0.0097525,0.0097525,0.0097525
7,102.161,1.59532,1.60249,1.99233,0.55953,0.51834,0.51221,0.27742,1.59118,1.85713,2.15173,0.009703,0.009703,0.009703
8,115.983,1.4762,1.4505,1.89933,0.36084,0.44988,0.29406,0.15072,1.64618,2.79467,2.22923,0.0096535,0.0096535,0.0096535
9,129.822,1.42916,1.34269,1.83048,0.77783,0.71394,0.82256,0.5166,1.26441,1.23262,1.83431,0.009604,0.009604,0.009604
10,144.04,1.35867,1.24346,1.77574,0.80502,0.74701,0.8351,0.53187,1.2132,1.41091,1.77912,0.0095545,0.0095545,0.0095545
11,158.31,1.32984,1.1733,1.73046,0.80918,0.85017,0.90592,0.62092,1.12323,0.98197,1.61979,0.009505,0.009505,0.009505
12,172.518,1.27515,1.11269,1.67569,0.83522,0.86749,0.90879,0.61505,1.16858,0.92246,1.66488,0.0094555,0.0094555,0.0094555
13,186.356,1.22413,1.05779,1.62661,0.87595,0.83619,0.93348,0.64548,1.11489,0.83888,1.61796,0.009406,0.009406,0.009406
14,206.659,1.22049,1.03105,1.6347,0.84837,0.80708,0.89457,0.60636,1.17159,0.9626,1.68388,0.0093565,0.0093565,0.0093565
15,220.559,1.20391,0.99979,1.60798,0.84625,0.85819,0.91612,0.6182,1.1384,0.87541,1.6226,0.009307,0.009307,0.009307
16,234.74,1.17964,0.96561,1.57612,0.8502,0.90465,0.93712,0.66658,1.06086,0.78245,1.53323,0.0092575,0.0092575,0.0092575
17,249.207,1.15477,0.94253,1.54155,0.84602,0.89731,0.9343,0.66751,1.04959,0.81185,1.54034,0.009208,0.009208,0.009208
18,263.777,1.14146,0.9061,1.53826,0.87521,0.90954,0.93954,0.6858,1.01225,0.75968,1.48267,0.0091585,0.0091585,0.0091585
19,278.154,1.13021,0.91887,1.52479,0.85991,0.93154,0.94791,0.67996,1.05034,0.73027,1.52625,0.009109,0.009109,0.009109
20,292.413,1.10193,0.86403,1.50207,0.86392,0.90954,0.94611,0.68742,1.00536,0.70765,1.49344,0.0090595,0.0090595,0.0090595
21,306.459,1.10072,0.85939,1.50003,0.89121,0.90954,0.96296,0.71846,0.96498,0.67716,1.4584,0.00901,0.00901,0.00901
22,320.481,1.08888,0.84196,1.48436,0.85908,0.90918,0.9469,0.6885,1.00145,0.69011,1.48351,0.0089605,0.0089605,0.0089605
23,334.291,1.08141,0.83617,1.49603,0.88169,0.89284,0.95898,0.71172,0.9458,0.71556,1.43797,0.008911,0.008911,0.008911
24,348.149,1.05076,0.79854,1.45014,0.86753,0.9511,0.96262,0.71343,0.96918,0.64944,1.45039,0.0088615,0.0088615,0.0088615
25,361.991,1.05793,0.79893,1.45858,0.88255,0.9186,0.95869,0.72813,0.94194,0.62439,1.44392,0.008812,0.008812,0.008812
26,376.301,1.03736,0.78762,1.43859,0.9063,0.92421,0.96651,0.72605,0.94708,0.64397,1.42223,0.0087625,0.0087625,0.0087625
27,390.154,1.03435,0.78939,1.43984,0.89208,0.92969,0.96821,0.73922,0.91567,0.6009,1.39604,0.008713,0.008713,0.008713
28,404.341,1.03138,0.76531,1.42024,0.90218,0.92455,0.96563,0.72593,0.95729,0.63132,1.43756,0.0086635,0.0086635,0.0086635
29,418.244,1.02021,0.76637,1.4112,0.90409,0.91932,0.96661,0.73464,0.90932,0.62584,1.39045,0.008614,0.008614,0.008614
30,432.217,0.98554,0.74698,1.39794,0.91811,0.90709,0.9674,0.73484,0.93486,0.60045,1.41591,0.0085645,0.0085645,0.0085645
31,445.906,0.99212,0.73537,1.40788,0.90207,0.94586,0.96995,0.71505,0.98691,0.61004,1.46649,0.008515,0.008515,0.008515
32,459.711,0.99158,0.73594,1.39427,0.89589,0.92573,0.97187,0.73653,0.94019,0.58524,1.41885,0.0084655,0.0084655,0.0084655
33,473.677,0.981,0.72676,1.38674,0.88081,0.95764,0.96784,0.72306,0.94874,0.58039,1.42155,0.008416,0.008416,0.008416
34,487.639,0.97517,0.72938,1.3882,0.91369,0.91198,0.96622,0.72528,0.9277,0.5798,1.41518,0.0083665,0.0083665,0.0083665
35,501.655,0.97444,0.71804,1.38468,0.90878,0.93888,0.9743,0.74144,0.92313,0.57141,1.40027,0.008317,0.008317,0.008317
36,515.832,0.95705,0.7059,1.36254,0.92056,0.93493,0.97168,0.73775,0.91925,0.56394,1.40349,0.0082675,0.0082675,0.0082675
37,529.68,0.9529,0.70902,1.35286,0.89321,0.95844,0.97433,0.75034,0.89374,0.54563,1.3746,0.008218,0.008218,0.008218
38,543.983,0.94927,0.69142,1.35454,0.9023,0.94842,0.97398,0.74806,0.90255,0.55898,1.3844,0.0081685,0.0081685,0.0081685
39,557.805,0.94399,0.68406,1.34478,0.92572,0.93399,0.9736,0.73792,0.92805,0.56776,1.39341,0.008119,0.008119,0.008119
40,571.881,0.92793,0.6663,1.34152,0.903,0.95591,0.97722,0.74855,0.93165,0.54213,1.39592,0.0080695,0.0080695,0.0080695
41,585.684,0.92678,0.68165,1.34341,0.92365,0.94377,0.97718,0.7545,0.88806,0.53641,1.35916,0.00802,0.00802,0.00802
42,599.904,0.92616,0.67056,1.34113,0.90754,0.94377,0.9718,0.76045,0.86761,0.52447,1.34334,0.0079705,0.0079705,0.0079705
43,614.079,0.92436,0.65799,1.34386,0.92678,0.92845,0.97766,0.76232,0.87848,0.50823,1.35678,0.007921,0.007921,0.007921
44,628.333,0.90381,0.6444,1.32102,0.90659,0.94918,0.97788,0.7588,0.88199,0.52216,1.34489,0.0078715,0.0078715,0.0078715
45,642.232,0.91523,0.64492,1.31801,0.8851,0.97066,0.96798,0.74848,0.87916,0.53942,1.35442,0.007822,0.007822,0.007822
46,656.082,0.9062,0.6318,1.31416,0.9118,0.93519,0.97149,0.7544,0.87697,0.54563,1.3558,0.0077725,0.0077725,0.0077725
47,669.942,0.89703,0.63122,1.31368,0.90969,0.9511,0.97457,0.77026,0.86353,0.52526,1.32424,0.007723,0.007723,0.007723
48,684.21,0.90196,0.63756,1.30871,0.91202,0.9511,0.97298,0.75598,0.88051,0.53355,1.35153,0.0076735,0.0076735,0.0076735
49,698.189,0.90062,0.61681,1.31122,0.90189,0.94404,0.97813,0.76885,0.85628,0.51251,1.3378,0.007624,0.007624,0.007624
50,712.135,0.88866,0.62138,1.30215,0.91308,0.93888,0.97414,0.7708,0.84816,0.50429,1.32963,0.0075745,0.0075745,0.0075745
51,726.361,0.87979,0.61608,1.29665,0.91502,0.94778,0.97042,0.761,0.86984,0.51868,1.3406,0.007525,0.007525,0.007525
52,740.26,0.87952,0.61537,1.3008,0.91347,0.96333,0.97655,0.77103,0.85652,0.50069,1.31535,0.0074755,0.0074755,0.0074755
53,754.303,0.89037,0.61578,1.3022,0.93269,0.94866,0.97419,0.77136,0.85368,0.49732,1.32856,0.007426,0.007426,0.007426
54,768.45,0.86555,0.60281,1.2837,0.91178,0.96577,0.97465,0.75766,0.86939,0.50341,1.33347,0.0073765,0.0073765,0.0073765
55,782.292,0.85241,0.60525,1.27004,0.92441,0.95677,0.97437,0.7639,0.8599,0.49683,1.32912,0.007327,0.007327,0.007327
56,796.134,0.86954,0.61035,1.28584,0.91859,0.9511,0.97227,0.76446,0.85737,0.49757,1.33335,0.0072775,0.0072775,0.0072775
57,810.018,0.86305,0.59197,1.27536,0.92049,0.96242,0.97916,0.77169,0.83586,0.49249,1.29465,0.007228,0.007228,0.007228
58,823.938,0.84185,0.57962,1.24929,0.9118,0.9605,0.97554,0.77485,0.85028,0.48384,1.31868,0.0071785,0.0071785,0.0071785
59,838.069,0.85641,0.58696,1.26705,0.92721,0.94866,0.97819,0.77176,0.86104,0.48737,1.33077,0.007129,0.007129,0.007129
60,851.733,0.84036,0.57901,1.26061,0.9511,0.93399,0.98121,0.77904,0.84728,0.46594,1.32069,0.0070795,0.0070795,0.0070795
61,865.858,0.84075,0.57401,1.25292,0.93286,0.95125,0.98116,0.77162,0.84851,0.49021,1.31492,0.00703,0.00703,0.00703
