epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1085,3.36331,4.2059,4.32508,0.00171,0.35452,0.00164,0.00053,2.97193,4.23451,4.15445,0.0704054,0.00328829,0.00328829
2,108.873,3.3543,4.01855,4.21205,0.00271,0.56479,0.0036,0.00103,2.93989,4.09597,4.47524,0.0403726,0.00658884,0.00658884
3,164.385,3.15621,3.69257,3.87397,0.00152,0.31296,0.00105,0.00028,nan,nan,nan,0.0103069,0.0098564,0.0098564
4,217.991,2.79282,3.31242,3.27964,0.09467,0.07824,0.03402,0.00805,2.96823,6.02588,5.51363,0.0098515,0.0098515,0.0098515
5,273.465,2.40958,2.81723,2.85063,0.15318,0.34474,0.1261,0.04267,2.182,20.5779,3.21948,0.009802,0.009802,0.009802
6,329.004,2.02636,2.26932,2.47604,0.36163,0.37408,0.32655,0.14478,1.92237,2.43804,2.6051,0.0097525,0.0097525,0.0097525
7,384.323,1.75794,1.86004,2.19768,0.70806,0.63452,0.72007,0.39731,1.5092,1.6099,2.11674,0.009703,0.009703,0.009703
8,439.839,1.5641,1.58998,2.00788,0.69954,0.63188,0.72194,0.45437,1.36012,1.57988,1.92975,0.0096535,0.0096535,0.0096535
9,495.206,1.47455,1.41217,1.89392,0.79216,0.76528,0.85204,0.54284,1.27617,1.12491,1.8453,0.009604,0.009604,0.009604
10,550.696,1.38076,1.25398,1.81012,0.84317,0.76773,0.86989,0.56295,1.23465,1.06481,1.77907,0.0095545,0.0095545,0.0095545
11,606.161,1.32017,1.16671,1.7332,0.83275,0.8044,0.88534,0.60769,1.14208,0.98326,1.67987,0.009505,0.009505,0.009505
12,661.442,1.25959,1.09603,1.67812,0.8387,0.81362,0.90074,0.61342,1.14925,0.95702,1.69438,0.0094555,0.0094555,0.0094555
13,716.954,1.20786,1.03602,1.61695,0.83688,0.81418,0.90332,0.6261,1.08636,0.90024,1.61454,0.009406,0.009406,0.009406
14,772.664,1.17567,0.99525,1.60619,0.87759,0.81174,0.91056,0.6357,1.09504,0.85349,1.62899,0.0093565,0.0093565,0.0093565
15,828.241,1.15025,0.95705,1.58357,0.87709,0.88509,0.93885,0.66575,1.03981,0.78471,1.57196,0.009307,0.009307,0.009307
16,883.769,1.12816,0.91131,1.55462,0.86922,0.89242,0.94837,0.67812,1.03276,0.75321,1.5634,0.0092575,0.0092575,0.0092575
17,939.28,1.10061,0.87847,1.52075,0.89522,0.91918,0.95667,0.70411,0.94147,0.69046,1.47622,0.009208,0.009208,0.009208
18,994.716,1.06534,0.8482,1.49299,0.90001,0.90231,0.96061,0.70047,0.98605,0.67894,1.48357,0.0091585,0.0091585,0.0091585
19,1048.25,1.07511,0.8511,1.50059,0.8903,0.89294,0.95183,0.70001,0.95322,0.70158,1.48022,0.009109,0.009109,0.009109
20,1101.93,1.04544,0.81983,1.47247,0.8735,0.94866,0.94859,0.70666,0.93192,0.6754,1.45095,0.0090595,0.0090595,0.0090595
21,1157.44,1.03228,0.80142,1.45732,0.90123,0.91469,0.9601,0.71404,0.94542,0.6574,1.4784,0.00901,0.00901,0.00901
