                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.2787,4.0161,4.1656,32.8467,3.0175,5.5023,4.1956,31.6758,0.00055,0.11736,0.00069,0.00014,2.8354,4.0042,3.9742,2.606,5.0634,3.9567,0.070204,0.0033107,0.0033107
2,3.2403,3.8123,3.8979,32.05525,2.9258,4.6165,3.8268,29.99195,0.0126,0.03912,0.00361,0.00091,3.2731,4.4194,10.466,3.0567,5.7098,12.805,0.040171,0.0066111,0.0066111
3,2.9747,3.4999,3.4702,29.2655,2.5656,4.0643,3.2222,26.10745,0.08168,0.13692,0.04398,0.0091,2.5744,4.4829,3.2651,2.2187,5.1748,3.1005,0.010105,0.0098785,0.0098785
4,2.609,3.0681,3.0326,25.65045,2.2639,3.6029,2.7432,22.8955,0.14684,0.2665,0.10293,0.02885,2.3153,4.9611,2.999,2.099,7.0281,2.8862,0.0098515,0.0098515,0.0098515
5,2.241,2.6009,2.6644,22.10455,1.959,3.1036,2.4296,19.8887,0.22156,0.3243,0.1776,0.07635,1.9548,2.9333,2.5688,1.7244,3.5995,2.3331,0.0098515,0.0098515,0.0098515
6,1.966,2.1962,2.4099,19.45795,1.7536,2.6744,2.1986,17.7871,0.37363,0.33985,0.32301,0.14346,1.7818,2.7394,2.3892,1.7229,2.7318,2.2845,0.009802,0.009802,0.009802
7,1.7994,1.929,2.2538,17.8407,1.6756,2.3569,2.0954,16.88855,0.44269,0.41565,0.40254,0.20382,1.5906,1.8132,2.204,1.5328,2.1807,2.1048,0.0097525,0.0097525,0.0097525
8,1.6998,1.7328,2.153,16.8444,1.6221,2.1223,2.0427,16.29095,0.54738,0.49878,0.51536,0.30144,1.4518,1.4816,2.041,1.4716,1.7732,2.0208,0.009703,0.009703,0.009703
9,1.5825,1.5971,2.0297,15.71185,1.5424,1.912,1.9677,15.47555,0.56334,0.56146,0.56854,0.35295,1.3547,1.4038,1.9333,1.3564,1.5914,1.932,0.0096535,0.0096535,0.0096535
10,1.5161,1.4704,1.9649,15.0533,1.5256,1.7305,1.938,15.21425,0.54815,0.66504,0.61013,0.3728,1.361,1.2818,1.9332,1.3475,1.5476,1.906,0.009604,0.009604,0.009604
11,1.4502,1.3777,1.8959,14.4092,1.4567,1.6167,1.8799,14.55345,0.66584,0.63325,0.69326,0.44551,1.2488,1.0903,1.8072,1.2766,1.2952,1.8082,0.0095545,0.0095545,0.0095545
12,1.3861,1.2792,1.8243,13.7718,1.4042,1.4973,1.8059,13.989,0.54544,0.73345,0.67736,0.44908,1.2464,1.1377,1.8462,1.2446,1.4591,1.8296,0.009505,0.009505,0.009505
13,1.3589,1.2289,1.803,13.5107,1.3834,1.4407,1.7789,13.7642,0.61768,0.70905,0.70769,0.4482,1.2644,1.1121,1.8258,1.2721,1.2503,1.8195,0.0094555,0.0094555,0.0094555
14,1.342,1.2085,1.8055,13.3775,1.3823,1.3983,1.7848,13.7436,0.70627,0.65526,0.73669,0.48159,1.2917,1.031,1.8247,1.2755,1.1545,1.789,0.009406,0.009406,0.009406
15,1.3135,1.1638,1.7548,13.06535,1.3593,1.3562,1.7484,13.49545,0.71109,0.65526,0.73339,0.4812,1.2382,0.9943,1.7685,1.2026,1.1667,1.6926,0.0093565,0.0093565,0.0093565
16,1.2785,1.1246,1.7215,12.7333,1.3355,1.2851,1.7279,13.25065,0.73103,0.75795,0.82399,0.53689,1.0876,1.0183,1.6592,1.1405,1.0924,1.7097,0.009307,0.009307,0.009307
17,1.2501,1.0658,1.7051,12.4663,1.3005,1.2345,1.7112,12.9378,0.71801,0.7555,0.82191,0.55714,1.122,0.8612,1.6806,1.15,0.94816,1.6842,0.0092575,0.0092575,0.0092575
18,1.2273,1.0327,1.6757,12.23465,1.289,1.1778,1.6875,12.78765,0.80967,0.69686,0.82441,0.55498,1.1529,0.85449,1.691,1.1949,0.93904,1.7323,0.009208,0.009208,0.009208
19,1.2205,1.0292,1.6646,12.16525,1.2585,1.2001,1.674,12.5498,0.79387,0.76274,0.86552,0.61443,1.1027,0.78447,1.6542,1.1278,0.83827,1.6884,0.0091585,0.0091585,0.0091585
20,1.1938,0.99129,1.6477,11.920695,1.256,1.1521,1.6857,12.5246,0.73237,0.80287,0.85009,0.5994,1.0292,0.78203,1.6223,1.0946,0.81196,1.6597,0.009109,0.009109,0.009109
21,1.188,0.97232,1.6351,11.84881,1.2333,1.1478,1.6537,12.3042,0.73922,0.78729,0.84961,0.59221,1.0847,0.76043,1.654,1.1312,0.82538,1.6972,0.0090595,0.0090595,0.0090595
