                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.3019,4.0085,4.2132,33.0883,3.0407,5.6006,4.2459,31.9744,0.00089,0.19071,0.00168,0.00036,2.8547,3.992,4.0681,2.6053,5.0027,4.0618,0.070204,0.0033107,0.0033107
2,3.2341,3.6958,3.9416,32.01605,2.9158,4.4298,3.8652,29.8812,0.00546,0.02689,0.00248,0.00065,3.2645,14.818,6.3602,3.354,39.851,8.5713,0.040171,0.0066111,0.0066111
3,2.9306,3.3581,3.4844,28.88515,2.5687,3.9016,3.2244,26.05265,0.08949,0.10269,0.03503,0.00779,2.5875,3.4243,3.2852,2.3162,4.0716,3.0893,0.010105,0.0098785,0.0098785
4,2.5714,2.9305,3.0442,25.31705,2.2464,3.4776,2.7902,22.7721,0.1153,0.17604,0.06577,0.01984,2.268,3.9289,2.9557,1.9855,4.5321,2.7503,0.0098515,0.0098515,0.0098515
5,2.223,2.5111,2.6998,21.97775,1.9574,3.0516,2.4796,19.9257,0.30641,0.35697,0.2522,0.11655,1.9614,2.1262,2.5845,1.7284,2.529,2.4119,0.0098515,0.0098515,0.0098515
6,1.9455,2.1075,2.441,19.3065,1.756,2.5938,2.2349,17.81925,0.37267,0.36311,0.30176,0.13614,1.8293,2.1041,2.451,1.7157,2.414,2.3292,0.009802,0.009802,0.009802
7,1.7569,1.8409,2.2474,17.4683,1.6355,2.2618,2.1113,16.5641,0.44172,0.40587,0.38453,0.22219,1.5446,1.7076,2.1799,1.4415,2.046,2.0611,0.0097525,0.0097525,0.0097525
8,1.6322,1.6275,2.1234,16.24035,1.5941,1.9474,2.0557,16.013,0.52276,0.61598,0.58059,0.35089,1.4154,1.3615,2.022,1.4071,1.6497,1.9768,0.009703,0.009703,0.009703
9,1.526,1.4716,2.0234,15.2159,1.5132,1.7595,1.9838,15.20445,0.54919,0.61953,0.6274,0.39662,1.292,1.2219,1.9321,1.3359,1.4821,1.9436,0.0096535,0.0096535,0.0096535
10,1.4428,1.3508,1.9319,14.39425,1.4657,1.5985,1.9282,14.6843,0.66375,0.65638,0.71137,0.44903,1.3331,1.1525,1.9547,1.3103,1.3271,1.9075,0.009604,0.009604,0.009604
11,1.3793,1.273,1.8627,13.7753,1.4086,1.4881,1.8718,14.11625,0.66959,0.70416,0.74149,0.47947,1.2096,1.0856,1.7883,1.2949,1.2445,1.8411,0.0095545,0.0095545,0.0095545
12,1.3206,1.1654,1.7914,13.1743,1.3619,1.3552,1.8051,13.5995,0.61447,0.70533,0.71006,0.46165,1.2296,1.0593,1.8609,1.2882,1.3532,1.9054,0.009505,0.009505,0.009505
13,1.2869,1.1195,1.7658,12.8602,1.3416,1.2877,1.7882,13.38815,0.6681,0.76773,0.79706,0.52499,1.1636,0.91811,1.7715,1.2413,1.0212,1.8277,0.0094555,0.0094555,0.0094555
14,1.284,1.0895,1.7778,12.84145,1.3458,1.2567,1.7999,13.4217,0.72184,0.7824,0.82435,0.56749,1.1087,0.8544,1.674,1.1683,0.94219,1.7459,0.009406,0.009406,0.009406
15,1.2456,1.0482,1.7204,12.4467,1.309,1.2054,1.7566,13.0551,0.71663,0.7555,0.80007,0.55944,1.1163,0.90416,1.6577,1.1008,0.96961,1.6401,0.0093565,0.0093565,0.0093565
