               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.088657,0.034292,0,0.477577,0.0024801,0.53301,0.0026703,0.00063264,0.071182,0.024937,0,0.070204,0.0033107,0.0033107
1,0.0775,0.033817,0,0.421317,0.0029465,0.63325,0.0029857,0.00076608,0.067372,0.022615,0,0.040171,0.0066111,0.0066111
2,0.076675,0.032857,0,0.416232,0.0030034,0.64548,0.0053696,0.0011331,0.065798,0.022444,0,0.010105,0.0098785,0.0098785
3,0.075025,0.033618,0,0.408743,0.0038111,0.81907,0.010291,0.0025342,0.066596,0.022741,0,0.0098515,0.0098515,0.0098515
4,0.069919,0.03353,0,0.383125,0.056974,0.1687,0.030024,0.0072549,0.059123,0.024194,0,0.0098515,0.0098515,0.0098515
5,0.063833,0.033162,0,0.352327,0.12225,0.19315,0.067644,0.020586,0.058447,0.030621,0,0.009802,0.009802,0.009802
6,0.058203,0.031871,0,0.322886,0.32919,0.33476,0.2561,0.081332,0.047768,0.02544,0,0.0097525,0.0097525,0.0097525
7,0.053596,0.029828,0,0.297808,0.46209,0.511,0.45377,0.17668,0.042491,0.022045,0,0.009703,0.009703,0.009703
8,0.049458,0.028,0,0.27529,0.52518,0.58684,0.55721,0.2457,0.04057,0.019498,0,0.0096535,0.0096535,0.0096535
9,0.045776,0.026543,0,0.255423,0.63546,0.58924,0.63131,0.27813,0.038722,0.019273,0,0.009604,0.009604,0.009604
10,0.044226,0.025494,0,0.246624,0.74721,0.66487,0.72907,0.33538,0.036822,0.01515,0,0.0095545,0.0095545,0.0095545
11,0.041772,0.024364,0,0.233224,0.79158,0.7335,0.79711,0.42003,0.033737,0.014669,0,0.009505,0.009505,0.009505
