               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.090655,0.034519,0,0.487794,0.0024346,0.52323,0.0034072,0.00088818,0.071704,0.02505,0,0.070204,0.0033107,0.0033107
1,0.077335,0.033898,0,0.420573,0.0031286,0.67237,0.012453,0.0025439,0.067564,0.021838,0,0.040171,0.0066111,0.0066111
2,0.075128,0.032304,0,0.407944,0.051561,0.0978,0.021229,0.0053647,0.066754,0.022162,0,0.010105,0.0098785,0.0098785
3,0.069572,0.032722,0,0.380582,0.16999,0.25183,0.10213,0.024859,0.060889,0.02322,0,0.0098515,0.0098515,0.0098515
4,0.061698,0.031878,0,0.340368,0.30973,0.35697,0.23622,0.064458,0.051588,0.022154,0,0.0098515,0.0098515,0.0098515
5,0.054981,0.030609,0,0.305514,0.39444,0.43521,0.33935,0.097253,0.048864,0.020776,0,0.009802,0.009802,0.009802
6,0.05054,0.028508,0,0.281208,0.64983,0.59413,0.60015,0.24254,0.040822,0.020549,0,0.0097525,0.0097525,0.0097525
7,0.046502,0.026624,0,0.259134,0.69475,0.63994,0.70217,0.32956,0.037974,0.01597,0,0.009703,0.009703,0.009703
8,0.042937,0.024918,0,0.239603,0.7357,0.72372,0.78321,0.42256,0.033125,0.015056,0,0.0096535,0.0096535,0.0096535
9,0.040495,0.023686,0,0.226161,0.81279,0.71638,0.79088,0.43363,0.032284,0.014362,0,0.009604,0.009604,0.009604
10,0.038276,0.02271,0,0.21409,0.85144,0.77751,0.87863,0.51679,0.030134,0.012989,0,0.0095545,0.0095545,0.0095545
11,0.036668,0.021566,0,0.204906,0.81693,0.83619,0.8822,0.54405,0.029057,0.012127,0,0.009505,0.009505,0.009505
12,0.035178,0.021196,0,0.197086,0.86214,0.84597,0.90404,0.56277,0.027966,0.012035,0,0.0094555,0.0094555,0.0094555
13,0.034644,0.020525,0,0.193745,0.83753,0.84352,0.89018,0.55597,0.026734,0.011777,0,0.009406,0.009406,0.009406
14,0.033264,0.019987,0,0.186307,0.84679,0.87042,0.91734,0.58455,0.026899,0.011487,0,0.0093565,0.0093565,0.0093565
15,0.032299,0.019356,0,0.180851,0.88771,0.85045,0.92001,0.59032,0.02688,0.011264,0,0.009307,0.009307,0.009307
16,0.031424,0.019132,0,0.176252,0.84216,0.9262,0.93574,0.58388,0.027033,0.01081,0,0.0092575,0.0092575,0.0092575
17,0.031159,0.018695,0,0.17449,0.86737,0.9114,0.93382,0.60257,0.026007,0.010731,0,0.009208,0.009208,0.009208
18,0.029762,0.018121,0,0.166931,0.88412,0.9022,0.94779,0.61942,0.02496,0.010462,0,0.0091585,0.0091585,0.0091585
19,0.029307,0.01769,0,0.164225,0.88038,0.9022,0.94755,0.63254,0.024464,0.010404,0,0.009109,0.009109,0.009109
20,0.029481,0.017909,0,0.165314,0.90255,0.89487,0.94862,0.64048,0.024399,0.010768,0,0.0090595,0.0090595,0.0090595
21,0.02919,0.017558,0,0.163508,0.86565,0.96088,0.95408,0.6436,0.023555,0.0098445,0,0.00901,0.00901,0.00901
22,0.028518,0.017218,0,0.159808,0.88543,0.92586,0.96062,0.6614,0.022559,0.0097039,0,0.0089605,0.0089605,0.0089605
23,0.027706,0.017034,0,0.155564,0.89077,0.93643,0.96034,0.6799,0.02236,0.0095578,0,0.008911,0.008911,0.008911
