                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,         train/loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.284,3.8998,4.0749,32.69225,0.00181,0.38875,0.00145,0.00053,2.8125,4.0682,3.8107,0.070405,0.0032883,0.0032883
2,3.0306,3.419,3.5807,29.81005,0.02431,0.06112,0.01066,0.00333,2.5835,7.2718,3.4498,0.040373,0.0065888,0.0065888
3,2.6608,3.0221,3.1203,26.1475,0.00645,0.07579,0.00538,0.00176,2.5506,3.9582,3.4608,0.010307,0.0098564,0.0098564
4,2.2521,2.533,2.7006,22.20815,0.21134,0.22494,0.12451,0.04595,2.4891,4.7893,2.9751,0.0098515,0.0098515,0.0098515
5,1.9252,2.1167,2.3806,19.06825,0.3093,0.39609,0.28411,0.13558,1.7835,3.3636,2.3832,0.009802,0.009802,0.009802
6,1.7409,1.8199,2.1777,17.23325,0.70335,0.60147,0.67857,0.38541,1.4346,2.8385,2.0433,0.0097525,0.0097525,0.0097525
7,1.5908,1.597,2.0277,15.77105,0.69018,0.64303,0.70002,0.41739,1.3881,1.4403,1.9633,0.009703,0.009703,0.009703
8,1.4894,1.4728,1.9274,14.798,0.73792,0.72971,0.78766,0.49703,1.3027,1.2938,1.832,0.0096535,0.0096535,0.0096535
9,1.452,1.3644,1.8732,14.382,0.81265,0.78729,0.86809,0.56998,1.1813,1.4436,1.7656,0.009604,0.009604,0.009604
10,1.3832,1.2782,1.8126,13.732,0.80749,0.71394,0.83374,0.53181,1.2415,1.2837,1.8132,0.0095545,0.0095545,0.0095545
11,1.3595,1.2204,1.7744,13.46805,0.85875,0.78782,0.88656,0.61413,1.0941,1.0146,1.6327,0.009505,0.009505,0.009505
12,1.2957,1.1547,1.7241,12.88125,0.85125,0.82152,0.90078,0.60513,1.1263,0.95857,1.6659,0.0094555,0.0094555,0.0094555
13,1.2618,1.1138,1.6829,12.54475,0.85799,0.80685,0.89677,0.6086,1.0924,0.98169,1.6141,0.009406,0.009406,0.009406
14,1.2472,1.0733,1.6831,12.4153,0.85377,0.85649,0.91639,0.62733,1.0928,0.96627,1.621,0.0093565,0.0093565,0.0093565
15,1.2205,1.0427,1.6526,12.154,0.84023,0.86797,0.92133,0.62907,1.1009,1.1169,1.6212,0.009307,0.009307,0.009307
16,1.2138,1.0185,1.6325,12.0615,0.84062,0.88981,0.92585,0.64678,1.043,0.89888,1.5721,0.0092575,0.0092575,0.0092575
17,1.1943,0.9924,1.6074,11.86455,0.88036,0.86355,0.92187,0.66139,1.0281,0.81279,1.5464,0.009208,0.009208,0.009208
