               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,4.4954,5.3063,5.3934,44.45875,0.0092926,0.00978,0.0032021,0.00084219,3.6925,5.1861,5.7635,0.070204,0.0033107,0.0033107
1,4.4394,4.9395,5.2012,43.56705,0.008139,0.022005,0.0029199,0.00076651,4.2031,8.245,10.444,0.040171,0.0066111,0.0066111
2,3.9583,4.3693,4.667,38.8724,0.022223,0.061125,0.012886,0.0032463,3.3777,4.9706,4.8398,0.010105,0.0098785,0.0098785
3,3.3583,3.8423,3.9432,33.0232,0.10392,0.22249,0.066014,0.021213,2.7406,5.3118,4.0029,0.0098515,0.0098515,0.0098515
4,2.9235,3.2555,3.4014,28.6561,0.26702,0.33741,0.23481,0.10202,2.3108,3.5025,3.3227,0.0098515,0.0098515,0.0098515
5,2.5868,2.7988,3.0137,25.32095,0.6212,0.50611,0.53565,0.26642,2.2013,2.4278,3.0957,0.009802,0.009802,0.009802
6,2.3886,2.5342,2.8179,23.40845,0.60814,0.6109,0.65466,0.376,1.8775,2.1391,2.8114,0.0097525,0.0097525,0.0097525
7,2.2617,2.2961,2.6889,22.14415,0.72095,0.57457,0.67289,0.39755,1.8719,1.9969,2.7727,0.009703,0.009703,0.009703
8,2.1336,2.1533,2.5723,20.9371,0.67345,0.66056,0.70861,0.41153,1.767,2.1971,2.6129,0.0096535,0.0096535,0.0096535
9,2.0191,1.9665,2.4385,19.78425,0.79625,0.72619,0.826,0.50748,1.626,1.7191,2.518,0.009604,0.009604,0.009604
10,1.9556,1.8806,2.3646,19.1542,0.73878,0.62926,0.72996,0.46452,1.6285,1.7174,2.4605,0.0095545,0.0095545,0.0095545
11,1.9049,1.8369,2.312,18.6732,0.78979,0.7824,0.86367,0.57791,1.4426,1.4327,2.2942,0.009505,0.009505,0.009505
12,1.8589,1.7404,2.2438,18.17765,0.8408,0.74328,0.86712,0.58064,1.5403,1.4098,2.3428,0.0094555,0.0094555,0.0094555
13,1.8042,1.6787,2.2055,17.6791,0.78826,0.79707,0.85833,0.58256,1.4957,1.3059,2.3042,0.009406,0.009406,0.009406
14,1.7943,1.6422,2.1825,17.5521,0.84061,0.6846,0.81317,0.55464,1.4844,1.5458,2.3082,0.0093565,0.0093565,0.0093565
15,1.7654,1.6031,2.1866,17.32195,0.82974,0.83863,0.90099,0.62392,1.3935,1.1798,2.1919,0.009307,0.009307,0.009307
16,1.715,1.5463,2.1229,16.82,0.86725,0.82152,0.90987,0.61282,1.4783,1.1481,2.2047,0.0092575,0.0092575,0.0092575
17,1.67,1.4812,2.0808,16.3868,0.85437,0.86066,0.92236,0.65376,1.3708,1.067,2.1613,0.009208,0.009208,0.009208
18,1.6812,1.4696,2.0816,16.4662,0.83463,0.82675,0.90875,0.64307,1.396,1.0891,2.1868,0.0091585,0.0091585,0.0091585
19,1.6787,1.4824,2.0735,16.4417,0.84752,0.82898,0.9089,0.65815,1.3263,1.1513,2.1011,0.009109,0.009109,0.009109
20,1.6237,1.3965,2.0293,15.91995,0.88479,0.87042,0.93994,0.68233,1.2833,1.0121,2.0878,0.0090595,0.0090595,0.0090595
21,1.6131,1.3858,2.017,15.81665,0.87578,0.88264,0.93319,0.67613,1.2705,0.99908,2.0636,0.00901,0.00901,0.00901
22,1.591,1.3487,2.0043,15.6133,0.84215,0.88699,0.94251,0.6747,1.2792,0.99681,2.0589,0.0089605,0.0089605,0.0089605
23,1.5827,1.3241,1.9988,15.5305,0.90353,0.87023,0.93807,0.69163,1.2506,0.96579,2.0413,0.008911,0.008911,0.008911
24,1.567,1.2925,1.9859,15.3776,0.83852,0.89731,0.93414,0.68797,1.2547,0.99987,2.0382,0.0088615,0.0088615,0.0088615
25,1.5464,1.2912,1.9694,15.1977,0.86785,0.85103,0.91208,0.65549,1.3493,1.0647,2.0995,0.008812,0.008812,0.008812
26,1.5638,1.2924,1.9594,15.3138,0.88417,0.84597,0.93399,0.68875,1.2624,0.98689,2.0386,0.0087625,0.0087625,0.0087625
27,1.5309,1.257,1.9349,15.0126,0.88977,0.88813,0.95349,0.69965,1.2552,0.88637,2.027,0.008713,0.008713,0.008713
28,1.5208,1.2344,1.9409,14.93455,0.89163,0.86504,0.93847,0.68719,1.2752,0.90199,2.0647,0.0086635,0.0086635,0.0086635
29,1.5021,1.2096,1.9251,14.7582,0.88549,0.88864,0.93869,0.69279,1.2274,0.94823,1.9843,0.008614,0.008614,0.008614
30,1.4926,1.2298,1.9038,14.6651,0.89201,0.86841,0.9485,0.69816,1.2238,0.88165,1.9934,0.0085645,0.0085645,0.0085645
31,1.4811,1.2117,1.9073,14.57505,0.87184,0.89487,0.95006,0.70065,1.2094,0.90263,2.0001,0.008515,0.008515,0.008515
32,1.4615,1.1683,1.8983,14.39285,0.8768,0.90485,0.96028,0.7207,1.1973,0.78139,1.9594,0.0084655,0.0084655,0.0084655
33,1.4543,1.1591,1.8818,14.3095,0.90684,0.88509,0.95705,0.71617,1.2026,0.81541,1.9752,0.008416,0.008416,0.008416
34,1.4489,1.1408,1.8636,14.23255,0.86925,0.92652,0.96052,0.72635,1.1889,0.78425,1.961,0.0083665,0.0083665,0.0083665
35,1.459,1.1424,1.8692,14.3175,0.89026,0.89259,0.95003,0.71406,1.2309,0.80492,2.0014,0.008317,0.008317,0.008317
36,1.4146,1.1172,1.8581,13.95525,0.89722,0.89976,0.95907,0.71435,1.2399,0.77412,2.005,0.0082675,0.0082675,0.0082675
37,1.4264,1.1087,1.8324,14.00095,0.86059,0.94132,0.96237,0.72664,1.1831,0.78115,1.9478,0.008218,0.008218,0.008218
38,1.4353,1.157,1.858,14.13025,0.90739,0.86243,0.94541,0.71386,1.2038,0.82864,1.9626,0.0081685,0.0081685,0.0081685
39,1.4005,1.0919,1.835,13.8022,0.90671,0.90305,0.96368,0.72631,1.1681,0.74443,1.9463,0.008119,0.008119,0.008119
40,1.4074,1.0994,1.8529,13.88455,0.87557,0.88753,0.94834,0.70605,1.1665,0.84615,1.912,0.0080695,0.0080695,0.0080695
41,1.3978,1.0809,1.8344,13.77555,0.89037,0.89359,0.95501,0.71367,1.1907,0.84025,1.9532,0.00802,0.00802,0.00802
42,1.3961,1.0786,1.8235,13.7453,0.913,0.89806,0.96737,0.73432,1.1559,0.74486,1.9294,0.0079705,0.0079705,0.0079705
43,1.3749,1.0479,1.8105,13.55145,0.87389,0.9488,0.95715,0.73014,1.1492,0.747,1.9015,0.007921,0.007921,0.007921
44,1.374,1.06,1.8213,13.56695,0.86738,0.94349,0.96412,0.72595,1.1451,0.74487,1.9141,0.0078715,0.0078715,0.0078715
45,1.3785,1.0501,1.8008,13.565,0.92898,0.92176,0.96997,0.73717,1.1551,0.72881,1.9053,0.007822,0.007822,0.007822
46,1.3576,1.0308,1.7949,13.38975,0.91564,0.91932,0.97181,0.73703,1.1428,0.74627,1.9315,0.0077725,0.0077725,0.0077725
47,1.3607,1.0527,1.7933,13.42155,0.91771,0.92176,0.97115,0.74062,1.154,0.71736,1.9207,0.007723,0.007723,0.007723
48,1.3562,1.0186,1.7897,13.36535,0.88422,0.9511,0.97392,0.73515,1.147,0.7145,1.9062,0.0076735,0.0076735,0.0076735
49,1.3284,1.0077,1.7763,13.1313,0.93215,0.91443,0.96921,0.74097,1.124,0.73055,1.8989,0.007624,0.007624,0.007624
50,1.3494,1.0103,1.7969,13.321,0.91138,0.93037,0.96504,0.72699,1.164,0.71035,1.9356,0.0075745,0.0075745,0.0075745
