               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,4.4867,5.2711,5.3308,44.282,0.01966,0.007335,0.0051789,0.0013462,3.6014,4.6592,5.4218,0.070204,0.0033107,0.0033107
1,4.4411,4.9809,5.2074,43.6098,0.0063131,0.036675,0.0036796,0.0010748,3.591,                 inf,9.5499,0.040171,0.0066111,0.0066111
2,4,4.508,4.676,39.268,0.0039265,0.04401,0.0024755,0.00073574,3.3476,8.7737,5.1284,0.010105,0.0098785,0.0098785
3,3.4601,3.9639,3.9623,33.87615,0.074264,0.11736,0.029439,0.0076893,3.0974,4.4144,4.2844,0.0098515,0.0098515,0.0098515
4,3.0391,3.4686,3.4537,29.7081,0.13201,0.22983,0.075965,0.03008,2.498,6.3605,3.4864,0.0098515,0.0098515,0.0098515
5,2.7294,3.05,3.0961,26.63965,0.30874,0.35697,0.25223,0.089329,2.5646,3.1586,3.4124,0.009802,0.009802,0.009802
6,2.5564,2.8033,2.9346,24.97655,0.44333,0.44254,0.43054,0.21426,2.0813,2.552,3.0016,0.0097525,0.0097525,0.0097525
7,2.4029,2.5914,2.7908,23.50365,0.66464,0.49389,0.58666,0.31783,1.9719,2.2005,2.8498,0.009703,0.009703,0.009703
8,2.2868,2.4204,2.6883,22.39365,0.54633,0.61369,0.59933,0.30876,2.0264,2.0946,2.8859,0.0096535,0.0096535,0.0096535
9,2.1811,2.2338,2.5733,21.3351,0.66959,0.67881,0.72436,0.42164,1.7497,1.9911,2.6037,0.009604,0.009604,0.009604
10,2.104,2.1397,2.4879,20.5817,0.74313,0.68215,0.75944,0.47025,1.6454,1.7769,2.4592,0.0095545,0.0095545,0.0095545
11,2.0544,2.0847,2.4386,20.10825,0.83204,0.68949,0.81849,0.5092,1.5995,1.6923,2.385,0.009505,0.009505,0.009505
12,2.0045,1.9775,2.362,19.5655,0.80821,0.69438,0.78863,0.50229,1.5625,1.6236,2.3564,0.0094555,0.0094555,0.0094555
13,1.9582,1.9345,2.3315,19.151,0.77803,0.76284,0.8318,0.53742,1.5958,1.4446,2.3988,0.009406,0.009406,0.009406
14,1.9219,1.8672,2.2955,18.7911,0.78103,0.79218,0.85404,0.55027,1.6042,1.4491,2.4199,0.0093565,0.0093565,0.0093565
15,1.909,1.8354,2.3004,18.6858,0.81048,0.80685,0.88024,0.59981,1.5132,1.3443,2.3084,0.009307,0.009307,0.009307
16,1.8644,1.7628,2.2551,18.24705,0.82013,0.8044,0.87669,0.61338,1.4248,1.2957,2.2119,0.0092575,0.0092575,0.0092575
17,1.8208,1.69,2.2051,17.80865,0.82797,0.83619,0.90194,0.62701,1.4107,1.2038,2.1784,0.009208,0.009208,0.009208
18,1.8338,1.6888,2.1988,17.8961,0.85713,0.79208,0.89459,0.62095,1.4555,1.2335,2.2637,0.0091585,0.0091585,0.0091585
19,1.8163,1.6685,2.1922,17.7448,0.86614,0.74083,0.87955,0.60942,1.4247,1.2526,2.2167,0.009109,0.009109,0.009109
20,1.7604,1.5942,2.1459,17.21895,0.87383,0.81663,0.90857,0.63095,1.3898,1.137,2.1698,0.0090595,0.0090595,0.0090595
21,1.7528,1.5738,2.1202,17.1132,0.87428,0.82396,0.91325,0.6533,1.3264,1.0805,2.0994,0.00901,0.00901,0.00901
22,1.7111,1.5245,2.1031,16.75015,0.83,0.83562,0.92123,0.658,1.3383,1.103,2.1053,0.0089605,0.0089605,0.0089605
23,1.7208,1.5189,2.1076,16.82685,0.85913,0.82641,0.91579,0.65563,1.343,1.0995,2.1191,0.008911,0.008911,0.008911
24,1.6931,1.4694,2.0788,16.55115,0.87927,0.85474,0.93743,0.67948,1.276,1.0916,2.0483,0.0088615,0.0088615,0.0088615
25,1.6749,1.4552,2.0721,16.3975,0.82274,0.89487,0.91451,0.65276,1.3051,1.0356,2.0854,0.008812,0.008812,0.008812
26,1.6884,1.4632,2.0656,16.493,0.83591,0.88753,0.94037,0.68726,1.3108,1.0103,2.0584,0.0087625,0.0087625,0.0087625
27,1.6539,1.4318,2.0353,16.1731,0.86409,0.87049,0.92685,0.67706,1.3213,1.0379,2.0831,0.008713,0.008713,0.008713
28,1.6559,1.4168,2.0445,16.1944,0.87936,0.83863,0.92549,0.67248,1.3043,0.9939,2.0759,0.0086635,0.0086635,0.0086635
29,1.6297,1.3784,2.0267,15.952,0.86411,0.87064,0.93905,0.68957,1.2373,0.96775,1.9989,0.008614,0.008614,0.008614
30,1.6337,1.3863,2.0161,15.97005,0.90755,0.88806,0.94782,0.68817,1.2955,0.98188,2.0626,0.0085645,0.0085645,0.0085645
31,1.6003,1.3665,2.0029,15.68985,0.89224,0.89731,0.95039,0.69056,1.2618,1.0007,2.0198,0.008515,0.008515,0.008515
32,1.5914,1.3433,1.9922,15.59545,0.90717,0.86064,0.94869,0.68856,1.304,0.89309,2.0312,0.0084655,0.0084655,0.0084655
33,1.5923,1.3301,1.9864,15.5869,0.88416,0.87042,0.94924,0.7028,1.2162,0.87806,1.9637,0.008416,0.008416,0.008416
34,1.5802,1.3027,1.9632,15.44765,0.90403,0.87531,0.95352,0.70328,1.2458,0.8672,1.9963,0.0083665,0.0083665,0.0083665
35,1.5862,1.312,1.9671,15.50315,0.86759,0.84905,0.92518,0.68215,1.2696,0.9586,2.0274,0.008317,0.008317,0.008317
36,1.5478,1.2536,1.9607,15.17635,0.85809,0.91662,0.9529,0.69655,1.2501,0.87266,2.0093,0.0082675,0.0082675,0.0082675
37,1.5586,1.2713,1.9322,15.22345,0.90742,0.89487,0.95583,0.72945,1.1651,0.85418,1.9143,0.008218,0.008218,0.008218
38,1.5756,1.306,1.9543,15.40145,0.89442,0.86992,0.9436,0.69919,1.2429,0.88574,1.9683,0.0081685,0.0081685,0.0081685
39,1.5429,1.2627,1.9373,15.10905,0.9024,0.9022,0.96277,0.72228,1.1874,0.82075,1.9338,0.008119,0.008119,0.008119
